Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Sentiment
245672,B004OAZ36I,ABRHK3QEFCFPA,"Deborah Andrews ""livysmother""",12,12,1,1325203200,Don't bother ordering this,This is a joke!!  I have never been so mad as I am right now writing this.  Not only is the coffee a big joke the way they shipped it is as well.  The assortment in this is ridiculous.  The majority of the coffee is french vanilla.  And hopefully we will like spicy eggnog and kahlua because those make up pretty much the rest of the coffee.  This looks like somebody threw in the coffee they didn't like into a box and sent it to the sucker who was stupid enough to buy it.  I am not usually this brutall with reviews but this angers me.  The coffee was in a brown paper bag and thrown in a box to ship.  If I could return this I would but this is not a purchase that can be returned. How sad this is.,Negative
305456,B0010UOGWM,AKGRTGZRH5TGB,Vespere,1,1,3,1332288000,Redbull?,"Someone said that it tasted like a Sprite. No it doesn't to me. Not even close in my opinion. It's a Energy Drink. It tastes more like Redbull but with a less tart flavor. I couldn't taste any after taste so that was a plus. Even if it does have Splenda in it, I don't even taste that and I don't like Splenda. It isn't my favorite flavor as I am not a fan of Redbull, but if you do then this syrup just may be for you.<br /><br />*EDIT* I just realized when I wrote that it does not taste like a Sprite the person was commenting about the Lemon Lime syrup. I apologize about that.",Neutral
214841,B000U9V5DW,A3D2S3EVS10EWN,Trish,0,0,3,1342396800,Just ok in flavor,Purchased this in hopes of flavoring coffee without sweetening it.I didn't find the flavor to be all that amazing but it was ok.If you made coffee with it then asked me to guess the flavor I wouldnt be able to.Maybe because I know its supposed to be macadamia nut that Im looking for the flavor and can find it?In the end I am still trying to find  good macadamia nut flavor.,Neutral
292778,B000N62PRC,A19PFIZNJ2ZPUH,Aroon Jham,1,1,2,1345939200,"GINGER GROUND FRESHLY PACKED IN LARGE JARS, spices, herbs, seasonings",The ginger is not strong enough - have to put a spoonful to get the taste.Mccormick ginger is so  much better -just a pinch is enough.,Negative
209985,B003XRAI5O,A1M3F4G45OXRDI,Victor1212,0,3,1,1319673600,Complete Disaster,"Matouk's West Indian Hot Sauce is the worst hot sauce I have ever tasted. The quality control is atrocious. You're better off with something else. They also have a real problem with shipping. So much so that they have a form letter they send to people who receive a USPS box full of broken glass and hot sauce to clean up. The bottom line is that the product may create problems for he person you're trying to send a gift to, instead of enhancing their life. I'll never order from them again.",Negative
163982,B00497LNRY,A2P29N5QKU29WX,David Burg,0,1,3,1316822400,Product is great but watch the price,"Very good product. Take the bare one unless you're ok with something very sweet for the flavored ones. My toddler eats it every morning. The amazon price, $8.5 for 3 packages of 5, is way overpriced. Regular price for one package of 5 at Safeway is $2.5, with promotional price at $1.25 (I stocked up when they were in discount). (I leave in Bellevue, WA, near Seattle.) So unless the price was adjusted by the seller, I recommend that you check your local Safeway first.",Neutral
415258,B0019BI5KG,A3S8BUOGNQFETA,C. Thomas,0,0,1,1295222400,My cat hated this food!,Food was fragrant for dry cat food but my cat HATED this food. He is not normally a picky eater but he refused to eat this food.,Negative
521470,B007JFXWRC,ABLLHG0REGFX7,Zellie,0,0,3,1350518400,"Okay, but I think would be better cold!","I'm new to the hot tea party but open to try new ones so when I saw this on Amazon Vine, I decided to give it a go. Mostly because I've been intrigued by the pyramid tea bags for what feels like forever.<br /><br />The tea bag itself is actually made out of a type of plastic. It wasn't a mesh bag like I expected it to be. Cool concept. Steeping time didn't take as long as it usually does with a mesh bag so I appreciated that. Also clean up wasn't as messy. Pull the bag out, let it drain for a few seconds and toss. Didn't have to squeeze it out or wait for a long period of time like with my other tea's.<br /><br />The tea itself is a nice red color. Reminds me of red jello almost. The scent to match! You can immediately smell the bits of raspberry and blackberry in the tea. It smells tarty, tarty enough to make your mouth water. I decided to sweeten mine with sugar instead of honey for once and while it made the tea little bit sweeter, I still was unable to pick up the vanilla flavor. Like, at all!<br /><br />Overall, I was pretty pleased with this tea. The flavor is a good amount of strong and it was tarty. But I think because I'm much more use to herbal tea's I didn't enjoy this as much as the ones I usually drink. I feel like this would be much more enjoyable if were made cold instead of hot since it's both fruity and tarty.<br /><br />I was really disappointed to not be able to taste the vanilla flavor. I think that would had made a fantastic addition to the taste of this tea.",Neutral
387631,B00271NNLI,A3JHAF5AN6IP3C,Terri Byers,1,2,3,1339545600,buzz is right!,"I was looking for a good dark coffee substitute for the Senseo Dark Roast that wasn't available right now. I ordered this one instead and even though it tasted nice, it started my heart to racing and it didn't stop for about 2 hours. The same thing happened to 2 friends who tried it at the same time. I love strong coffee but this was over the top as far as ""kick"" was concerned.",Neutral
557323,B000N648YK,A2D7FQTQPZZZFM,knowme,0,0,3,1341964800,Bait and switch tatics,"Today is July 11,2012, and They are still wording ads like they are  having a huge sale. Again they used the excuse it was a pricing mistake. Same mistake seems to be happening for quite awhile and has never been fixed. In fact, some one takes the time to change the price up and down almost daily a few cents either way.<br /> Seems to me if it was a real , HONEST mistake then it would have been corrected the first time. not just keep adjusting the price.<br /> I  received 3 moozles for the price of $22  plus postage which brought the total to $27 for the moozles.<br />I also bought  snozzles and they charged me more for the postage ( $11 ) then the item it self cost.<br /><br />As for the items them selves. My dogs do like them. I get the moozles for the dobie and the snozzles  for the min pins. They do like both items.  Items themselves are great.<br /> Just the sellers not so much. so they only got a 3 rating<br /><br />BUYER  BEWARE",Neutral
517873,B005GTWCTM,A3NYOQSGWZ0XW2,mary ann vitale,1,2,5,1326672000,Lavazza Crema e Gusto Coffee,"Lavazza crema e gusto is the best coffee. When you sip it, you can really tell that it has the true flavor of a good coffee.  I have it used for at least 20 years. My day is not the same, if I do not use my Lavazza Crema e Gusto Coffee. I can taste the difference between this coffee and the quality of other coffees. It has become our ritual for my husband and I to have an ""Espressiata"" as he calls it before he goes to work. This coffee makes my day. Mary Ann Vitale",Positive
